"","V1","V2","V3","V4"
"942",1,1,2,1
"943",1,3,4,3
"944",3,2,5,4
"945",2,1,3,2
"946",1,11,12,11
"947",4,10,14,13
"948",5,1,6,5
"949",1,1,2,1
"950",1,1,2,1
"951",1,1,2,1
"952",1,14,15,14
"953",1,4,5,4
"954",2,1,3,2
"955",5,41,46,42
"956",1,2,3,2
"957",1,1,2,1
"958",3,39,42,40
"959",2,19,21,19
"960",1,7,8,7
"961",1,2,3,2
"962",1,10,11,10
"963",1,4,5,4
"964",1,6,7,6
"965",2,3,5,3
"966",1,1,2,1
"967",1,17,18,17
"968",2,5,7,5
"969",1,11,12,11
"970",2,4,6,4
"971",1,12,13,12
"972",1,6,7,6
"973",1,1,2,1
"974",1,2,3,2
"975",3,2,5,4
"976",1,14,15,14
"977",1,9,10,9
"978",4,34,38,36
"979",1,14,15,14
"980",5,8,13,9
"981",1,5,6,5
"982",2,9,11,10
"983",3,16,19,18
"984",1,1,2,1
"985",1,1,2,1
"986",3,6,9,8
"987",1,1,2,1
"988",1,3,4,3
"989",1,4,5,4
"990",1,2,3,2
"991",4,14,18,16
"992",1,1,2,1
"993",1,11,12,11
"994",2,1,3,2
"995",1,11,12,11
"996",12,11,23,17
"997",1,10,11,10
"998",5,3,8,7
"999",12,22,34,30
"1000",1,1,2,1
"1001",1,25,26,25
"1002",2,22,24,23
"1003",1,5,6,5
"1004",1,3,4,3
"1005",1,6,7,6
"1006",1,27,28,27
"1007",2,11,13,12
"1008",1,5,6,5
"1009",1,13,14,13
"1010",1,5,6,5
"1011",1,4,5,4
"1012",2,2,4,3
"1013",3,6,9,8
"1014",1,6,7,6
"1015",1,13,14,13
"1016",3,14,17,14
"1017",4,20,24,21
"1018",1,13,14,13
"1019",1,1,2,1
"1020",1,1,2,1
"1021",2,10,12,10
"1022",1,3,4,3
"1023",1,5,6,5
"1024",1,9,10,9
"1025",16,24,40,37
"1026",16,6,22,21
"1027",4,8,12,9
"1028",1,4,5,4
"1029",2,3,5,4
"1030",1,15,16,15
"1031",1,3,4,3
"1032",2,24,26,25
"1033",3,6,9,7
"1034",1,2,3,2
"1035",1,3,4,3
"1036",1,4,5,4
"1037",1,4,5,4
"1038",2,44,46,45
"1039",1,2,3,2
"1040",1,1,2,1
"1041",1,1,2,1
"1042",1,2,3,2
"1043",1,1,2,1
"1044",1,6,7,6
"1045",2,11,13,11
"1046",2,1,3,2
"1047",1,2,3,2
"1048",2,5,7,6
"1049",1,38,39,38
"1050",1,6,7,6
"1051",2,1,3,2
"1052",1,12,13,12
"1053",2,9,11,9
"1054",2,12,14,13
"1055",2,17,19,17
"1056",2,7,9,8
"1057",2,3,5,3
"1058",1,11,12,11
"1059",1,3,4,3
"1060",3,6,9,7
"1061",3,38,41,38
"1062",1,5,6,5
"1063",1,4,5,4
"1064",5,3,8,6
"1065",5,2,7,6
"1066",1,26,27,26
"1067",3,1,4,3
"1068",2,10,12,10
"1069",31,1,32,31
"1070",3,6,9,8
"1071",1,10,11,10
"1072",2,4,6,5
"1073",1,4,5,4
"1074",2,23,25,24
"1075",1,2,3,2
"1076",1,2,3,2
"1077",1,8,9,8
"1078",1,1,2,1
"1079",2,14,16,14
"1080",1,3,4,3
"1081",3,2,5,3
"1082",1,7,8,7
"1083",1,1,2,1
"1084",1,2,3,2
"1085",2,1,3,2
"1086",2,28,30,28
"1087",1,1,2,1
"1088",2,16,18,17
"1089",1,2,3,2
"1090",1,9,10,9
"1091",1,3,4,3
"1092",3,19,22,20
"1093",2,4,6,5
"1094",1,4,5,4
"1095",2,16,18,16
"1096",2,13,15,13
"1097",11,11,22,11
"1098",1,2,3,2
"1099",1,6,7,6
"1100",1,6,7,6
"1101",1,2,3,2
"1102",2,5,7,6
"1103",1,8,9,8
"1104",1,1,2,1
"1105",2,1,3,2
"1106",3,6,9,8
"1107",1,2,3,2
"1108",1,9,10,9
"1109",3,6,9,6
"1110",3,37,40,39
"1111",1,1,2,1
"1112",3,3,6,4
"1113",23,1,24,23
"1114",1,11,12,11
"1115",1,1,2,1
"1116",4,36,40,37
"1117",2,8,10,8
"1118",1,8,9,8
"1119",7,6,13,12
"1120",1,14,15,14
"1121",1,2,3,2
"1122",2,2,4,3
"1123",3,8,11,10
"1124",1,13,14,13
"1125",1,26,27,26
"1126",1,3,4,3
"1127",1,1,2,1
"1128",1,12,13,12
"1129",1,1,2,1
"1130",1,1,2,1
"1131",2,4,6,5
"1132",1,17,18,17
"1133",1,2,3,2
"1134",1,4,5,4
"1135",1,2,3,2
"1136",1,2,3,2
"1137",1,1,2,1
"1138",2,15,17,16
"1139",1,17,18,17
"1140",5,11,16,12
"1141",4,4,8,4
"1142",1,1,2,1
"1143",1,1,2,1
"1144",2,8,10,8
"1145",1,1,2,1
"1146",1,1,2,1
"1147",1,3,4,3
"1148",1,1,2,1
"1149",1,4,5,4
"1150",3,2,5,3
"1151",1,4,5,4
"1152",1,3,4,3
"1153",1,6,7,6
"1154",1,1,2,1
"1155",1,4,5,4
"1156",1,1,2,1
"1157",1,1,2,1
"1158",1,1,2,1
"1159",2,10,12,10
"1160",2,2,4,2
"1161",2,22,24,22
"1162",1,12,13,12
"1163",3,6,9,8
"1164",1,7,8,7
"1165",14,22,36,32
"1166",1,3,4,3
"1167",2,9,11,10
"1168",1,1,2,1
"1169",5,2,7,6
"1170",1,2,3,2
"1171",1,7,8,7
"1172",2,3,5,4
"1173",2,2,4,2
"1174",1,1,2,1
"1175",1,12,13,12
"1176",2,4,6,5
"1177",1,29,30,29
"1178",1,2,3,2
"1179",1,37,38,37
"1180",2,5,7,6
"1181",1,28,29,28
"1182",1,16,17,16
"1183",1,4,5,4
"1184",1,1,2,1
"1185",12,22,34,30
"1186",2,7,9,8
"1187",2,2,4,2
"1188",1,2,3,2
"1189",1,1,2,1
"1190",2,6,8,6
"1191",1,2,3,2
"1192",1,1,2,1
"1193",1,6,7,6
"1194",4,3,7,4
"1195",1,3,4,3
"1196",2,3,5,4
"1197",1,3,4,3
"1198",3,10,13,12
"1199",3,18,21,18
"1200",12,4,16,14
"1201",1,2,3,2
"1202",1,1,2,1
"1203",6,3,9,8
"1204",1,4,5,4
"1205",1,2,3,2
"1206",1,8,9,8
"1207",2,4,6,4
"1208",1,2,3,2
"1209",1,5,6,5
"1210",2,4,6,5
"1211",1,2,3,2
"1212",3,10,13,12
"1213",2,12,14,13
"1214",2,15,17,16
"1215",4,9,13,11
"1216",1,3,4,3
"1217",1,4,5,4
"1218",1,1,2,1
"1219",3,3,6,5
"1220",1,7,8,7
"1221",1,11,12,11
"1222",1,6,7,6
"1223",1,3,4,3
"1224",1,1,2,1
"1225",1,5,6,5
"1226",2,13,15,13
